Row_num,Country,Year,Disease Name,Country_pop,Incidence Rate mn (%),Prevalence rate (%),Mortality Rate per 100 people (%),Population affected,Pop_affected(Male),Pop_affected(Female),Ages 0-18 (%),Ages 19-35 (%),Ages 36-60 (%),Ages 61+ (%),Pop_affected_U (%),Pop_affected_R (%),Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment type,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Average Annual Treatment Cost (USD),Availability of Vaccines/Treatment,Composite Health Index (CHI),Per Capita Income (USD),Education Index,Urbanization Rate (%)
2461,Can@da,2017.00,Hypertension,36545075,1.75,'19.57,0.02,639539,342793,296746,'1,'8,'40,'51,80,20,73.17,3.15,10.06,Medication,56.41,77.5,-40.63,'2840,High,77.7,'44806.66,0.9,79.9
2462,South Africa,2010.00,Leprosy,52344051,0,'0,,1108,687,421,'13,'20,'40,'27,62,38,73.07,1.11,3.98,Medication,58.46,0,-29.41,'2650,Medium,49.4,'7973.47,0.7,61.8
2463,Russia,2021.00,Alzheimer's Disease,144746762,,,,,,,,,,,,,68.14,1.99,4.46,Medication,97.11,0,11.86,'11266,Low,46.8,'12640.15,0.85,74.7
2464,It@l¥,2011.00,Asthma,60026841,0.68,'12.4,0.12,408183,184907,223276,'20,'23,'31,'26,69,31,77.11,3.17,6.15,Medication,87.65,52.48,-5.97,'998,High,79.4,'38215.26,0.79,68.7
2465,China,2004.00,Parkinson's Disease,1296075000,,,,,,,,,,,,,50.03,1.58,5.02,Medication,89.38,0,,'3697,Low,40.9,'1501.69,0.52,40.4
2466,Nigeria,2021.00,Dengue,218529286,0.01,'0,0,16763,8968,7795,'34,'36,'27,'3,52,48,25.11,0.46,1.24,Medication,98.94,0,13.97,'65,Low,32.9,'2008.54,0.55,51.8
2467,South Korea,2008.00,Cancer,49054708,0.5,'5.94,0.06,245274,123373,121901,'6,'10,'35,'49,79,21,92.08,2.6,3.4,Surgery,81.67,29.05,-9.27,'17848,High,61.5,'22613.03,0.83,79.4
2468,Russia,2002.00,Cancer,145306497,0.64,'12.29,0.08,929962,463121,466841,'8,'10,'35,'47,73,27,75.01,1.13,1.93,Medication,56.19,47.03,,'5192,Medium,41.6,'2384.2,0.79,73.2
2469,?r?zil,2004.00,Alzheimer's Disease,182675143,,,,,,,,,,,,,73.03,2.43,4.67,Medication,53.13,0,,'1636,Low,42.3,'3663.82,0.58,82
2470,G%rmany,2002.00, Ebola ,82488495,0,'0,0,3056,1497,1559,'7,'24,'39,'29,75,25,83.02,4.39,2.06,Therapy,86.53,0,,'19112,None,40.9,'25617.08,0.89,75.3
2471,Indonesia,2014.00,Hepatitis,258877399,0.43,'3.45,0.05,1113173,704639,408534,'7,'15,'35,'43,51,49,33.07,0.58,0.46,Medication,65.8,17.91,3.56,'49,Medium,33.8,'3441.07,0.63,51.1
2472,India,2008.00,Rabies,1207930964,0.01,'0.01,0,120793,81898,38895,'20,'27,'35,'18,30,70,25.04,0.38,0.58,Medication,91.39,0.12,1.53,'35,Low,30.4,'1049.29,0.45,30
2473,France,2006.00,Rabies,63622342,0.01,'0.01,0,6362,4116,2246,'13,'25,'38,'25,78,22,94.06,4.08,9.45,Medication,55.73,0.12,-40.04,'588,Medium,70,'36182.58,0.78,77.9
2474,?r?zil,2009.00,Alzheimer's Disease,192079951,,,,,,,,,,,,,68.06,1.5,1.63,Medication,66.79,0,27.46,'1791,Low,37.4,'8678.66,0.61,83.3
2475,Nigeria,2012.00,Alzheimer's Disease,176200625,,,,,,,,,,,,,29.06,0.56,0.6,Medication,83.17,0,27.07,'2214,Low,27.1,'2647.97,0.44,45
2476,G%rmany,2013.00,Polio,80645605,0.01,'0,0,5835,2958,2877,'34,'18,'17,'32,77,23,84.13,4.1,2.35,Vaccination,67.65,0,-8.57,'358,High,67.1,'46989.29,0.94,76.7
2477,Can@da,2011.00,HIV/A!DS,34339221,0.15,'1.27,0.02,51509,28639,22870,'6,'30,'39,'25,79,21,92.11,3.02,6.99,Medication,88.98,7.26,-4.54,'2012,High,68,'51897.07,0.88,78.9
2478,T?u?r?k?e?y?,2001.00,Alzheimer's Disease,66245128,,,,,,,,,,,,,73.01,2.41,4.15,Therapy,84.77,0,,'4866,Low,46.6,'3045.55,0.51,65.5
2479,Can@da,2016.00, Ebola ,36110803,0,'0,0,853,438,415,'5,'25,'39,'31,80,20,76.16,4.36,3.44,Therapy,70.56,0,4.77,'31724,Medium,47,'42031.79,0.9,79.7
2480,G%rmany,2018.00,Diabetes,82905782,0.51,'5.72,0.05,422819,222403,200416,'1,'12,'48,'39,77,23,89.18,3.06,8.91,Medication,61.79,24.21,-32.71,'3005,High,81.7,'48603.59,0.94,77.3
2481,China,2010.00,Hepatitis,1337705000,0.38,'2.65,0.03,5083279,3146550,1936729,'6,'15,'35,'44,47,53,65.07,2.42,4.43,Medication,67.76,12.52,-18.18,'40,High,60.3,'4503.82,0.59,47
2482,Saudi Arabia,2019.00,Rabies,30063799,0.01,'0,0,1689,1113,576,'9,'25,'35,'31,84,16,53.13,2.5,5.05,Medication,87.68,0.09,20.16,'712,Medium,54.5,'27518.46,0.78,83.8
2483,China,2018.00,Cancer,1402760000,0.57,'8.15,0.07,7995732,4069828,3925904,'4,'10,'35,'51,56,44,72.12,2.29,4.31,Surgery,97.72,38.05,6.43,'9969,High,59.6,'9791.98,0.67,55.8
2484,Russia,2008.00,Tub?rculosis,142742366,0.07,'0.48,0.01,99920,59952,39968,'21,'25,'30,'24,74,26,62.05,1.49,4.93,Medication,98.37,2.7,9.29,'291,High,63.1,'11661.82,0.81,73.6
2485,South Korea,2012.00, Ebola ,50199853,0.01,'0,0,2788,1408,1380,'11,'25,'35,'29,80,20,89.12,4.74,2.61,Therapy,73.59,0,12.44,'22002,None,41.7,'26922.48,0.86,80
2486,Can@da,2006.00,Hypertension,32571193,1.13,'21.48,0.06,368054,187708,180346,'1,'8,'38,'53,78,22,73.06,2.96,9.08,Medication,73.49,90.61,-20.94,'1734,High,79.1,'40274.39,0.87,78
2487,United Kingdom,2020.00,Cholera,66744000,0.01,'0,0,4672,2453,2219,'19,'30,'25,'26,83,17,,,,Medication,79.07,0,-19.77,'3331,Low,19.6,'40040.15,0.92,82.6
2488,Russia,2013.00, Ebola ,143805638,0.01,'0,0,8744,4451,4293,'10,'25,'35,'30,74,26,55.09,2.34,3.96,Therapy,94.06,0,27.13,'7747,None,33.8,'15853.42,0.82,74
2489,United Kingdom,2019.00,COVID-19,66631000,0.47,'0.61,0,313166,167857,145309,'9,'25,'30,'36,82,18,,,,Medication,75.9,5.2,4.02,'6911,None,10.6,'42487.95,0.92,82.5
2490,Mex!co,2023.00,Malaria,129739759,0,'0,0,5419,2932,2487,'36,'29,'25,'10,80,20,50.15,2.49,4.26,Medication,79.26,0,-11.78,'128,Medium,51.1,'13826.13,,79.9
2491,Russia,2015.00,Influen&za,144640716,2.27,'2.37,0.01,3283344,1687639,1595705,'25,'25,'30,'20,74,26,57.1,2.44,3.44,Medication,97.79,22.08,84.82,'52,High,62.3,'9383.42,0.84,74.2
2492,Argentina,2018.00,Rabies,44654882,0.01,'0.01,0.01,4465,2983,1482,'16,'25,'35,'24,91,9,72.12,1.83,4.1,Medication,70.69,0.18,-23.01,'57,Medium,53.5,'11752.8,0.87,91.3
2493,China,2019.00,Rabies,1407745000,0.01,'0.01,0,140775,94319,46456,'14,'25,'35,'26,57,43,53.13,2.39,3.61,Medication,97,0.18,32.93,'117,Medium,53.9,'10031.45,0.68,56.9
2494,It@l¥,2020.00,Hypertension,59438851,1.84,'29.75,0.33,1093675,592772,500903,'1,'5,'43,'51,70,30,75.2,2.78,7.53,Medication,76.48,155.49,-22.39,'3816,High,77.5,'31837.64,0.82,70
2495,Saudi Arabia,2015.00,Diabetes,29816382,0.55,'10.53,0.1,163990,86587,77403,'1,'15,'40,'44,83,17,52.1,1.8,1.98,Medication,87.21,44.91,64.83,'1962,Medium,53.4,'22334.8,0.73,82.8
2496,United Kingdom,2005.00,Tub?rculosis,60401206,0.25,'1.8,0.03,151003,90451,60552,'18,'25,'30,'27,81,19,,,,Medication,97.24,7.5,64.17,'1700,Medium,28.3,'41969.49,0.86,80.7
2497,South Africa,2000.00,Rabies,47159719,0.01,'0.01,0,4716,3183,1533,'19,'26,'35,'20,58,42,54,2.18,4.11,Medication,74.65,0.12,,'62,Medium,50.3,'3217.85,0.61,58
2498,?r?zil,2005.00,Measles,184688101,4.38,'4.68,0.01,8089339,4295439,3793900,'53,'21,'8,'18,82,18,69.03,1.56,2.87,Vaccination,86.66,43.75,46.31,'34,High,60.3,'4827.78,0.58,82.3
2499,Can@da,2014.00, Ebola ,35434066,0.01,'0,0,2577,1317,1260,'6,'25,'39,'30,79,21,85.14,2.84,8.81,Therapy,65.51,0,3.1,'27359,Medium,50.7,'50674.56,0.9,79.4
2500,Can@da,2014.00,Cancer,35434066,0.9,'11.82,0.07,318907,163280,155627,'1,'10,'39,'50,79,21,85.14,3.35,6.55,Surgery,72.16,56.56,13.57,'28356,High,63.9,'50674.56,0.9,79.4
2501,France,2002.00,Tub?rculosis,61812142,0.25,'2.33,0.01,154530,92873,61657,'19,'25,'32,'24,77,23,94.02,3.11,8.04,Medication,84.34,12.33,,'648,High,77.8,'23962.59,0.74,77.3
2502,South Korea,2008.00, Ebola ,49054708,0,'0,0,1689,841,848,'11,'25,'35,'29,79,21,88.08,4.24,5.54,Therapy,96.15,0,6.82,'17031,None,46.7,'22613.03,0.83,79.4
2503,India,2024.00,Hepatitis,1450935791,0.46,'4.2,0.04,6674305,4238184,2436121,'9,'16,'35,'41,36,64,28.12,0.54,0.41,Medication,64.79,19.24,-11.99,'81,Medium,32.1,,,36
2504,India,2010.00,Rabies,1243481564,0,'0,0,50361,33843,16518,'20,'27,'35,'19,31,69,32.05,0.77,0.42,Medication,62,0.03,-25.14,'37,Low,27.9,'1342.7,0.46,30.8
2505,Russia,2008.00,COVID-19,142742366,4,'4.77,0.02,5709695,3031848,2677847,'16,'25,'30,'29,74,26,66.05,1.85,3.44,Medication,81.41,37.28,-9.55,'1036,None,32.8,'11661.82,0.81,73.6
2506,Indonesia,2003.00,Polio,225048008,0,'0,0,6390,3304,3086,'44,'21,'10,'26,44,56,41.02,0.64,0.54,Medication,59.42,0,,'13,High,42.2,'1110.73,0.54,44
2507,India,2012.00,Zika,1278674502,0,'0,0,7483,3794,3689,'30,'31,'10,'29,32,68,32.06,0.15,0.95,Medication,73.02,0,11.57,'44,~none~,18.3,'1455.32,0.49,31.6
2508,Can@da,2008.00,Malaria,33247298,0.01,'0,0,2365,1216,1149,'32,'30,'28,'10,78,22,93.08,3.38,9.98,Medication,54.87,0,-39.04,'940,High,75.6,'46424.71,0.87,78.4
2509,Australia,2017.00,Tub?rculosis,24592588,0.06,'0.37,0.01,14756,9060,5696,'15,'25,'35,'26,86,14,75.17,3.33,9.34,Medication,57.11,2.06,-39.89,'2257,High,70.2,'57085.77,0.91,85.7
2510,Australia,2013.00,Malaria,23128129,0,'0,0,624,331,293,'31,'30,'29,'10,85,15,70.13,4.95,8.97,Medication,65.17,0,-11.92,'1246,High,74.1,'66447.48,0.9,85.3
2511,India,2023.00,Parkinson's Disease,1438069596,,,,,,,,,,,,,31.12,0.57,0.65,Medication,93.52,0,4.1,'3861,Low,29.4,'2486.51,,35.7
2512,It@l¥,2002.00,Dengue,57089824,0,'0,0,1990,999,991,'27,'34,'29,'9,67,33,77.02,3.29,5.18,Medication,83.9,0,,'743,Medium,62.6,'22322.05,0.73,67.3
2513,Australia,2014.00,Parkinson's Disease,23475686,,,,,,,,,,,,,82.14,4.24,2.4,Therapy,86.16,0,35.6,'17232,Medium,56.2,'62047.65,0.91,85.4
2514,Japan,2007.00,Cancer,128001000,0.82,'15.35,0.08,1049608,523754,525854,'1,'8,'40,'50,91,9,79.07,3.73,7.33,Surgery,83.49,71.93,8.92,'20114,High,66.1,'35754.8,0.84,91.3
2515,Can@da,2016.00,Leprosy,36110803,0.01,'0,,2335,1422,913,'5,'20,'44,'31,80,20,83.16,3.04,6.99,Medication,88.15,0,30.88,'12818,Medium,66.8,'42031.79,0.9,79.7
2516,G%rmany,2006.00,Hypertension,82376451,1.95,'27.26,0.14,1606341,835297,771044,'1,'6,'40,'52,76,24,92.06,3.26,11.48,Medication,87.83,103.01,-5.51,'1682,High,90,'37285.62,0.91,75.8
2517,Australia,2004.00,Cholera,19932722,0.01,'0,0,1054,558,496,'23,'30,'28,'19,84,16,79.04,4.56,9.57,Medication,68.07,0,,'1612,medium,69.6,'33950.56,0.88,84.4
2518,Nigeria,2015.00,Tub?rculosis,190671878,0.46,'4.47,0.04,877091,562215,314876,'25,'26,'32,'18,47,53,24.08,0.56,0.46,Medication,93.4,20.36,76.53,'50,Medium,36.2,'2622.04,0.48,47.3
2519,China,2008.00,Malaria,1324655000,0.01,'0,0,88300,47241,41060,'36,'30,'25,'9,45,55,62.05,1.25,2.33,Medication,50.32,0,-44.1,'123,Medium,43.1,'3444.5,0.57,44.8
2520,It@l¥,2000.00,Zika,56942108,0.01,'0,0,3890,1898,1992,'23,'29,'14,'34,67,33,77,4.5,10.87,Medication,92.59,0,,'308,None,49.1,'20073.64,0.71,67
2521,G%rmany,2024.00,HIV/A!DS,83510950,0.29,'2.29,0.04,242182,138770,103412,'1,'27,'44,'29,78,22,80.24,4.53,8.15,Medication,79.21,11.59,7.59,'4372,High,68.6,,,78
2522,Indonesia,2006.00,Cholera,233951652,3.23,'3.49,0.3,7556638,4050358,3506280,'28,'31,'25,'16,46,54,35.03,0.76,1.43,Medication,83.86,45.85,-9.78,'35,Low,33.9,'1659.18,0.57,45.9
2523,Argentina,2012.00,Influen&za,42161721,8.56,'12.25,0.06,3609043,1815349,1793694,'27,'25,'30,'18,91,9,63.08,2.09,3.73,Vaccination,56.59,83.89,-13.54,'17,High,55.9,'13790.49,0.84,90.6
2524,?r?zil,2019.00,HIV/A!DS,207455459,0.15,'0.76,0.01,311183,180797,130386,'11,'29,'35,'24,86,14,60.13,1.74,1.22,Medication,52.74,3.87,-27.72,'120,Medium,38.1,'9029.83,0.7,85.8
2525,T?u?r?k?e?y?,2009.00,Influen&za,72039206,2.98,'3.45,0.02,2146768,1077678,1069090,'28,'25,'30,'17,70,31,65.06,1.28,4.8,Medication,57.07,36.58,8.91,'37,High,55.8,'8960.06,0.58,69.5
2526,Japan,2023.00,Influen&za,124516650,13.34,'16.62,0.07,16610521,8421534,8188987,'16,'22,'39,'24,92,8,90.23,3.63,3.41,Medication,54.33,153.91,-39.53,'641,High,66.5,'33806.08,,91.9
2527,USA,2022.00,Cholera,334017321,0,'0,0,7699,4057,3642,'19,'30,'30,'21,83,17,91.22,4.95,2.85,Medication,53.78,0,-24.64,'7570,Medium,62.3,'76147.31,0.91,82.7
2528,USA,2007.00,Measles,301231207,4.45,'4.84,0.01,13404789,6608561,6796228,'47,'20,'11,'22,80,20,91.07,3.26,3.51,Vaccination,52.22,52.2,-31.87,'1041,High,65.5,'47952.64,0.88,80.2
2529,Argentina,2009.00,Rabies,40854831,0.01,'0,0,3056,2005,1051,'18,'25,'35,'22,90,10,57.06,1.81,4.85,Medication,74.37,0.04,41.93,'38,Medium,51,'8233.04,0.82,90.2
2530,Can@da,2006.00,Asthma,32571193,0.57,'9.71,0.1,185656,82431,103225,'23,'25,'28,'25,78,22,94.06,3.77,2.33,Medication,92.07,45.5,-0.95,'1051,High,81.4,'40274.39,0.87,78
2531,G%rmany,2007.00,HIV/A!DS,82266372,0.05,'0.49,0,41133,22459,18674,'6,'28,'40,'25,76,24,80.07,2.93,8.44,Therapy,88.45,2.25,15.39,'1672,High,66.5,'42855.09,0.92,75.9
2532,It@l¥,2021.00, Ebola ,59133173,0.01,'0,0,4360,2272,2088,'2,'22,'43,'33,70,30,87.21,3.81,11.45,Therapy,72.6,0,-16.37,'26576,Medium,55.4,'36484.71,0.82,70.2
2533,Japan,2007.00,Cholera,128001000,0,'0,0,3276,1697,1579,'21,'28,'30,'20,91,9,71.07,4.97,6.86,Medication,55.29,0,-27.87,'1312,Medium,62.6,'35754.8,0.84,91.3
2534,South Korea,2022.00,HIV/A!DS,51672569,0.22,'1.76,0.02,113680,65252,48428,'9,'30,'35,'26,82,18,94.22,3.02,2.25,Medication,90.11,9.56,26.28,'3565,High,63,'34748.47,0.88,81.7
2535,China,2021.00,Cancer,1412360000,0.85,'13.51,0.08,12005060,6290651,5714409,'4,'10,'35,'51,59,41,70.14,1.93,1.34,Medication,86.97,63.13,0.18,'10906,Medium,46.6,'12492.98,0.69,59.1
2536,Indonesia,2013.00,Zika,255852467,0,'0,0,2449,1266,1183,'27,'30,'10,'33,50,50,49.07,0.21,0.38,Vaccination,90.89,0,22.84,'46,None,23.9,'3566.6,0.63,50.5
2537,China,2016.00,Leprosy,1387790000,0.01,'0,,105226,65345,39881,'10,'20,'40,'30,54,46,72.11,1.64,4.13,Medication,66.81,0,-0.8,'5392,Medium,52.3,'8000.64,0.65,53.6
2538,Mex!co,2019.00,Diabetes,125762982,0.83,'8.67,0.03,1043833,558451,485382,'6,'14,'40,'39,79,21,64.13,1.25,3.8,Medication,77.42,43.16,6.1,'253,Medium,56.2,'10369.56,0.72,78.7
2539,Indonesia,2012.00, Ebola ,252698525,0.01,'0,0,15203,8194,7009,'12,'25,'35,'28,50,50,34.06,0.24,1.17,Therapy,92.85,0,41.86,'4104,None,21.9,'3632.27,0.62,49.8
2540,?r?zil,2012.00,Cancer,196876111,0.54,'8.46,0.08,1063131,574091,489040,'7,'10,'35,'48,84,16,66.08,1.6,2.96,Medication,79.84,37.84,21.99,'4163,Medium,45.6,'12521.72,0.63,84
2541,T?u?r?k?e?y?,2017.00,Diabetes,80312698,0.23,'3.17,0.03,184719,99009,85710,'6,'15,'40,'39,74,27,62.11,2.38,2.27,Medication,96.89,15.32,1.98,'1305,Medium,60.6,'10338.84,0.78,73.5
2542,Argentina,2023.00,Cholera,45538401,0.01,'0,0,3339,1780,1559,'26,'29,'25,'20,92,8,61.15,1.96,4.96,Medication,58.09,0,-35.34,'238,Medium,49.8,'14187.48,,92
2543,China,2010.00,Leprosy,1337705000,0,'0,,9862,5927,3935,'11,'20,'40,'29,47,53,70.07,1.99,3.28,Medication,95.86,0,15.74,'4083,Medium,56.8,'4503.82,0.59,47
2544,India,2003.00,Leprosy,1116803006,0.07,'0.46,,781762,480784,300978,'16,'22,'40,'22,28,72,38.02,0.47,1.31,Medication,85.74,2.07,,'964,low,34.1,'536.77,0.4,28.1
2545,Mex!co,2015.00,Cancer,121072306,0.89,'14.21,0.05,1077544,547392,530152,'7,'10,'35,'48,78,23,68.1,1.25,1.93,Medication,73.33,53.39,38.59,'8059,Medium,43,'10021.24,0.68,77.5
2546,China,2008.00,Parkinson's Disease,1324655000,,,,,,,,,,,,,68.05,2.05,3.23,Medication,82.61,0,-8.22,'3974,Low,43.1,'3444.5,0.57,44.8
2547,Saudi Arabia,2021.00,Cholera,30784383,0.01,'0,0,1976,1059,917,'19,'30,'25,'26,84,16,73.14,1.83,2.02,Medication,84.1,0,-3.12,'1289,Medium,53.4,'27903.01,0.8,84.3
2548,Saudi Arabia,2003.00,Cholera,18786767,0.01,'0,0,1162,603,559,'23,'30,'25,'22,80,20,71.02,2.17,1.3,Medication,82.76,0,,'613,medium,52.5,'11487.22,0.6,79.8
2549,China,2005.00,COVID-19,1303720000,1.28,'1.33,0.01,16687616,8877812,7809804,'17,'25,'30,'28,42,59,75.03,1.82,1.31,Medication,96.07,14.45,62.2,'644,~none~,34.4,'1744.97,0.53,41.5
2550,Indonesia,2022.00,Hypertension,278830529,1.97,'26.41,0.1,5492961,3076058,2416903,'3,'7,'35,'55,56,44,25.11,0.86,1.56,Medication,85.56,114.53,19.9,'283,Medium,41.6,'4730.75,0.67,56.3
2551,Japan,2002.00,Influen&za,127445000,11.73,'13.88,0.11,14949299,7340106,7609193,'22,'24,'34,'19,91,9,72.02,3.75,5.52,Vaccination,60.76,142.88,,'256,High,66,'32810.59,0.82,91.1
2552,USA,2009.00,Diabetes,306771529,0.61,'7.13,0.07,1871306,952495,918811,'2,'15,'43,'40,81,19,73.09,3.4,6.28,Medication,72.59,37.52,38.53,'2547,High,76.1,'47003.13,0.89,80.5
2553,France,2012.00,Zika,65657659,0.01,'0,0,4998,2414,2584,'21,'30,'14,'35,79,21,78.12,3.82,6.2,Medication,77.53,0,18.46,'437,None,41.8,'40547.69,0.8,78.8
2554,South Africa,2021.00,HIV/A!DS,61502603,0.64,'5.64,0.08,393617,233415,160202,'11,'29,'35,'25,66,34,60.14,2.08,1.83,Medication,60.53,26.45,-30.27,'65,Medium,40.9,'6830.89,0.78,66
2555,T?u?r?k?e?y?,2006.00,Parkinson's Disease,70045349,,,,,,,,,,,,,52.04,2.12,2.77,Therapy,92.11,0,-0.9,'5659,Low,40.4,'7953.08,0.55,68
2556,USA,2018.00,Influen&za,328529577,14.17,'18.41,0.05,46552641,23834952,22717689,'20,'25,'35,'21,82,18,95.18,4.01,4.92,Medication,78.48,172.19,-14.53,'599,High,75.3,'61650.84,0.91,82.1
2557,Can@da,2000.00,Cancer,30685730,0.76,'10.17,0.1,233212,115440,117772,'4,'10,'37,'49,77,23,93,3.3,9.61,Surgery,60.89,38.58,,'18792,High,67.5,'24104.5,0.85,77
2558,Argentina,2001.00,Parkinson's Disease,37624825,,,,,,,,,,,,,70.01,1.43,3.43,Medication,65.37,0,,'3109,Low,39.6,'7743.15,0.75,89.1
2559,United Kingdom,2012.00,HIV/A!DS,63711000,0.06,'0.32,0.01,38227,21369,16858,'6,'30,'35,'29,82,18,,,,Medication,64.16,1.74,-1.97,'2060,Medium,19.9,'42324.41,0.88,81.6
2560,Can@da,2023.00,COVID-19,40083484,3.77,'5.41,0.01,1511147,832642,678505,'8,'25,'35,'31,81,19,82.23,3.61,9.37,Vaccination,55.14,50.49,-38.62,'7616,High,56.4,'54517.04,,80.9
2561,Japan,2007.00,Polio,128001000,0,'0,0,2971,1503,1468,'36,'18,'15,'30,91,9,79.07,2.69,5.57,Medication,70.26,0,-8.34,'284,High,66.8,'35754.8,0.84,91.3
2562,South Korea,2019.00,Hypertension,51764822,0.6,'8.5,0.08,310589,164302,146287,'1,'8,'35,'56,81,19,84.19,2.78,7.74,Medication,95.99,39.06,31.55,'2983,High,84.4,'33824.97,0.87,81.2
2563,China,2024.00,Parkinson's Disease,1408975000,,,,,,,,,,,,,69.16,2.53,3.72,Therapy,81.88,0,11.22,'9360,Low,45,,,62.4
2564,United Kingdom,2004.00, Ebola ,59987905,0.01,'0,0,3208,1559,1649,'8,'25,'35,'32,81,19,,,,Medication,93.65,0,,'23082,None,13.1,'40246.22,0.85,80.5
2565,G%rmany,2017.00,Tub?rculosis,82657002,0.18,'1.18,0.02,148783,89270,59513,'13,'22,'37,'27,77,23,90.17,4.76,7.58,Medication,68.48,6.71,-27.92,'2859,High,77.8,'45281.72,0.94,77.2
2566,Russia,2016.00,Dengue,145015460,0,'0,0,2952,1506,1446,'30,'35,'25,'10,74,26,52.11,1.8,4.24,Medication,88.6,0,31.55,'105,Low,46,'8758.39,0.83,74.3
2567,Russia,2002.00,Cholera,145306497,0,'0,0,6814,3523,3291,'28,'30,'25,'17,73,27,63.01,1.93,4.72,Medication,96.39,0,,'119,Medium,56.7,'2384.2,0.79,73.2
2568,China,2001.00,Hepatitis,1271850000,0.41,'3.94,0.04,5214585,3113107,2101478,'8,'15,'35,'42,37,63,53.01,2.47,3.83,Medication,73.54,16.71,,'32,Medium,50.2,'1047.45,0.48,37.1
2569,South Africa,2017.00,Leprosy,57635162,0,'0,,1914,1213,701,'11,'20,'40,'29,64,36,51.11,2.25,5.07,Medication,98.22,0,3.38,'3619,Medium,55.2,'6612.92,0.73,64.5
2570,It@l¥,2021.00,Rabies,59133173,0.01,'0.01,0,5913,3956,1957,'7,'22,'43,'28,70,30,71.21,3.95,7.52,Medication,70.67,0.19,-18.59,'1130,Medium,63.6,'36484.71,0.82,70.2
2571,China,2017.00,Hypertension,1396215000,0.76,'12.64,0.09,10611234,5687621,4923613,'2,'8,'35,'55,55,45,54.11,1.14,3.78,Medication,51.73,50.36,-45.55,'315,Medium,47.7,'8716.29,0.66,54.7
2572,South Korea,2010.00,Cholera,49554112,0.01,'0,0,3145,1667,1478,'26,'30,'25,'19,80,20,90.1,3.58,9.04,Medication,63.86,0,-22.89,'1615,Medium,68.5,'24458.61,0.85,79.7
2573,India,2024.00,COVID-19,1450935791,2.03,'2.12,0.02,29453997,16936048,12517949,'19,'26,'30,'26,36,64,39.12,0.39,1.04,Medication,70.07,21.76,-4.82,'221,Low,24.1,,,36
2574,G%rmany,2010.00,Diabetes,81776930,0.65,'8.95,0.07,531550,272154,259396,'1,'13,'46,'40,76,24,73.1,5.04,9.39,Medication,71.4,34.68,-13.79,'1924,High,85.3,'42906.28,0.93,76.3
2575,South Korea,2020.00,Zika,51836239,0,'0,0,2059,1036,1023,'24,'30,'10,'36,81,19,70.2,3.57,10.25,Medication,64.38,0,-34.67,'1327,Medium,50.2,'33631.34,0.88,81.4
2576,G%rmany,2020.00,Influen&za,83160871,12.49,'16.72,0.05,10386793,5338812,5047981,'17,'22,'38,'23,78,22,88.2,4.39,2.83,Medication,92.47,150.84,-6.17,'2228,High,74.1,'47114.71,0.95,77.6
2577,Saudi Arabia,2005.00,Hepatitis,20559890,0.37,'1.88,0.04,76072,46404,29668,'3,'15,'35,'47,80,20,69.03,2.09,4.04,Medication,63.6,9.61,7.38,'542,High,59.2,'15963.4,0.62,80.3
2578,Can@da,2004.00,Hepatitis,31938807,0.36,'3.08,0.03,114980,68988,45992,'3,'15,'38,'44,78,22,78.04,5,9.67,Medication,80.01,11.85,,'1036,High,80,'31944.85,0.86,77.7
2579,?r?zil,2001.00,Malaria,176301203,0,'0,0,7502,4111,3391,'39,'31,'25,'5,81,19,71.01,1.81,3.53,Medication,85.65,0,,'49,High,62.2,'3176.29,0.56,81.3
2580,South Africa,2005.00,Cholera,49490033,3.12,'4.37,0.42,1544089,853881,690208,'28,'31,'25,'16,60,40,64.03,1.17,1.06,Medication,77.38,52.51,30.64,'69,Medium,46.6,'5836.88,0.67,59.9
2581,T?u?r?k?e?y?,2022.00,Alzheimer's Disease,84979913,,,,,,,,,,,,,68.15,2.51,2.87,Therapy,84.14,0,17.91,'12460,Low,44.1,'10419.65,0.79,76
2582,South Korea,2017.00,HIV/A!DS,51361911,0.06,'0.35,0.01,30817,17165,13652,'10,'30,'35,'25,81,19,81.17,5.03,10.37,Medication,88.87,1.45,-6.46,'2658,High,73.7,'33216.56,0.87,80.9
2583,Saudi Arabia,2021.00, Ebola ,30784383,0.01,'0,0,1590,814,776,'4,'25,'35,'36,84,16,65.14,1.88,4.99,Medication,67.31,0,-22.46,'32936,Medium,40.7,'27903.01,0.8,84.3
2584,Australia,2014.00,Dengue,23475686,0.01,'0,0,1792,907,885,'26,'35,'29,'10,85,15,88.14,4.33,3.59,Medication,56.47,0,-11.13,'1825,Medium,61.3,'62047.65,0.91,85.4
2585,Indonesia,2010.00,Cholera,246305322,4.82,'6.38,0.64,11871917,6446451,5425466,'28,'30,'25,'17,49,52,21.05,0.25,0.88,Medication,57.09,56.45,-31.07,'40,Low,23.2,'3065.68,0.6,48.5
2586,Nigeria,2009.00,Asthma,162049464,0.47,'8.34,0.01,761632,360252,401380,'30,'27,'26,'17,43,57,20.05,0.49,0.67,Medication,83.97,37.11,60.25,'38,Medium,37.3,'1801.44,0.43,42.8
2587,Australia,2001.00,Polio,19274701,0,'0,0,348,173,175,'39,'20,'12,'29,84,16,91.01,2.54,9.34,Medication,52.38,0,,'251,High,71.5,'20203.17,0.88,84.1
